"Выручка, руб.","Прибыль, руб.","Реализация, конт.","Списание, конт.","Равномерность продаж","День, макс","Продажи макс, руб.","День, мин","Продажи мин, руб.","День списания, макс","Списание макс, руб.","Наименование товара"
"Магазин 1",37730,6340,686,79,17,6,6215,5,3300,5,400,"Молоко, уп"
"Магазин 2",40920,9410,744,35,8,3,6490,2,5500,1,130,"Молоко, уп"
"Магазин 3",41525,10275,755,21,6,2,6435,6,5500,6,130,"Молоко, уп"
"Магазин 4",36410,4930,662,100,24,3,6160,1,2695,1,510,"Молоко, уп"
"Магазин 5",40040,8820,728,42,3,2,5940,7,5500,1,160,"Молоко, уп"
"Магазин 6",40040,9120,728,36,4,3,6050,1,5500,1,100,"Молоко, уп"
"Магазин 7",40205,9515,731,29,5,5,6160,6,5500,3,90,"Молоко, уп"
"Магазин 8",40205,7965,731,60,4,7,6160,2,5500,6,150,"Молоко, уп"
"Магазин 9",40645,9385,739,34,4,7,6160,1,5555,4,80,"Молоко, уп"
"Магазин 10",39490,8720,718,41,2,1,5830,4,5500,4,190,"Молоко, уп"
"Итого",397210,84480,7222,477,0,0,0,0,0,0,0,"Молоко, уп"
"Среднее",66201.6666666667,14080,1203.66666666667,79.5,0,0,0,0,0,0,0,"Молоко, уп"
