"Выручка, руб.","Прибыль, руб.","Реализация, конт.","Списание, конт.","Равномерность продаж","День, макс","Продажи макс, руб.","День, мин","Продажи мин, руб.","День списания, макс","Списание макс, руб.","Наименование товара"
"Магазин 1",18480,1260,112,43,8,1,3960,2,660,2,640,"Тушёнка, банка"
"Магазин 2",21285,4185,129,30,7,4,3630,2,495,2,680,"Тушёнка, банка"
"Магазин 3",22275,5135,135,26,8,4,4125,7,165,7,760,"Тушёнка, банка"
"Магазин 4",24915,8275,151,11,4,2,4290,5,2310,5,240,"Тушёнка, банка"
"Магазин 5",25905,8665,157,11,3,7,4290,5,3300,6,240,"Тушёнка, банка"
"Магазин 6",24420,8640,148,7,1,7,3795,5,3300,5,80,"Тушёнка, банка"
"Магазин 7",26070,8170,158,15,2,4,4290,3,3300,7,200,"Тушёнка, банка"
"Магазин 8",23100,5600,140,25,6,5,4125,4,990,4,560,"Тушёнка, банка"
"Магазин 9",22110,5350,134,24,4,5,3960,6,1650,6,400,"Тушёнка, банка"
"Магазин 10",24750,7650,150,15,2,3,3960,1,3300,2,240,"Тушёнка, банка"
"Итого",233310,62930,1414,207,0,0,0,0,0,0,0,"Тушёнка, банка"
"Среднее",38885,10488.3333333333,235.666666666667,34.5,0,0,0,0,0,0,0,"Тушёнка, банка"
